name,zl,zs,sigma_ap,err_sigma_ap,theta_E,survey,theta_ap,theta_eff,sigma_0,err_sigma_0
J0151+0049,0.517,1.364,219,39,0.68,BELLS,1,0.89,226,40
J0747+4448,0.437,0.897,281,52,0.61,BELLS,1,1.24,286,53
J0747+5055,0.438,0.898,328,60,0.75,BELLS,1,2.87,323,59
J0801+4727,0.483,1.518,98,24,0.49,BELLS,1,0.57,103,25
J0830+5116,0.53,1.332,268,36,1.14,BELLS,1,1.1,274,37
J0944-0147,0.539,1.179,204,34,0.72,BELLS,1,1.35,207,35
J1159-0007,0.579,1.346,165,41,0.68,BELLS,1,0.99,170,42
J1215+0047,0.642,1.297,262,45,1.37,BELLS,1,1.42,266,46
J1221+3806,0.535,1.284,187,48,0.7,BELLS,1,0.93,193,49
J1234-0241,0.49,1.016,122,31,0.53,BELLS,1,1.61,123,31
J1318-0104,0.659,1.396,177,27,0.68,BELLS,1,1.06,182,28
J1337+3620,0.564,1.182,225,35,1.39,BELLS,1,1.6,227,35
J1349+3612,0.44,0.893,178,18,0.75,BELLS,1,2.03,178,18
J1352+3216,0.463,1.034,161,21,1.82,BELLS,1,1.35,164,21
J1522+2910,0.555,1.311,166,27,0.74,BELLS,1,1.08,170,28
J1541+1812,0.56,1.113,174,24,0.64,BELLS,1,0.59,183,25
J1542+1629,0.352,1.023,210,16,1.04,BELLS,1,1.45,213,16
J1545+2748,0.522,1.289,250,37,1.21,BELLS,1,2.65,247,37
J1601+2138,0.544,1.446,207,36,0.86,BELLS,1,0.63,217,38
J1611+1705,0.477,1.211,109,23,0.58,BELLS,1,1.33,111,23
J1631+1854,0.408,1.086,272,14,1.63,BELLS,1,2.07,272,14
J1637+1439,0.391,0.874,208,30,0.65,BELLS,1,0.89,215,31
J2122+0409,0.626,1.452,324,56,1.58,BELLS,1,1.76,326,56
J2125+0411,0.363,0.978,247,17,1.2,BELLS,1,1.47,250,17
J2303+0037,0.458,0.936,274,31,1.02,BELLS,1,1.35,278,31
CFRS03-1077,0.938,2.941,251,19,1.24,LSD,1.25,1.6,256,19
HST-14176,0.81,3.399,224,15,1.41,LSD,1.25,1.06,232,16
HST-15433,0.497,2.092,116,10,0.36,LSD,1.25,0.41,125,11
MG-2016,1.004,3.263,328,32,1.56,LSD,0.65,0.31,347,34
Q0047-2808,0.485,3.595,229,15,1.34,LSD,1.25,0.82,239,16
J0212-0555,0.75,2.74,273,22,1.27,SL2S,0.9,1.22,277,22
J0213-0743,0.717,3.48,293,34,2.39,SL2S,1,1.97,293,34
J0214-0405,0.609,1.88,287,47,1.41,SL2S,1,1.21,293,48
J0217-0513,0.646,1.847,239,27,1.27,SL2S,1.5,0.73,253,29
J0219-0829,0.389,2.15,289,23,1.3,SL2S,1,0.95,298,24
J0223-0534,0.499,1.44,288,28,1.22,SL2S,1,1.31,293,28
J0225-0454,0.238,1.199,234,21,1.76,SL2S,1,2.12,233,21
J0226-0420,0.494,1.232,263,24,1.19,SL2S,1,0.84,272,25
J0232-0408,0.352,2.34,281,26,1.04,SL2S,1,1.14,287,27
J0848-0351,0.682,1.55,197,21,0.85,SL2S,0.9,0.45,208,22
J0849-0251,0.274,2.09,276,35,1.16,SL2S,0.9,1.34,279,35
J0849-0412,0.722,1.54,320,24,1.1,SL2S,0.9,0.46,338,25
J0850-0347,0.337,3.25,290,24,0.93,SL2S,0.7,0.28,309,26
J0855-0147,0.365,3.39,222,25,1.03,SL2S,0.7,0.69,228,26
J0855-0409,0.419,2.95,281,22,1.36,SL2S,0.7,1.13,283,22
J0904-0059,0.611,2.36,183,21,1.4,SL2S,0.9,2,182,21
J0959+0206,0.552,3.35,188,22,0.74,SL2S,0.9,0.46,199,23
J1359+5535,0.783,2.77,228,29,1.14,SL2S,1,1.13,233,30
J1404+5200,0.456,1.59,342,20,2.55,SL2S,1,2.03,342,20
J1405+5243,0.526,3.01,284,21,1.51,SL2S,1,0.83,294,22
J1406+5226,0.716,1.47,253,19,0.94,SL2S,1,0.8,262,20
J1411+5651,0.322,1.42,214,23,0.93,SL2S,1,0.85,221,24
J1420+5258,0.38,0.99,246,23,0.96,SL2S,1,1.11,252,24
J1420+5630,0.483,3.12,228,19,1.4,SL2S,1,1.62,230,19
J2203+0205,0.4,2.15,213,21,1.95,SL2S,1,0.99,219,22
J2205+0147,0.476,2.53,317,30,1.66,SL2S,0.9,0.66,330,31
J2213-0009,0.338,3.45,165,20,1.07,SL2S,1,0.27,179,22
J2219-0017,0.289,1.02,189,20,0.52,SL2S,0.7,1.01,191,20
J2220+0106,0.232,1.07,127,15,2.16,SL2S,1,0.8,132,16
J2221+0115,0.325,2.35,222,23,1.4,SL2S,1,1.12,227,24
J2222+0012,0.436,1.36,221,22,1.44,SL2S,1,1.56,223,22
J0008-0004,0.44,1.192,193,36,1.16,SLACS,1.5,1.71,197,37
J0029-0055,0.227,0.931,229,18,0.96,SLACS,1.5,2.16,232,18
J0037-0942,0.196,0.632,279,10,1.53,SLACS,1.5,2.19,283,10
J0044+0113,0.12,0.196,266,13,0.79,SLACS,1.5,2.61,267,13
J0109+1500,0.294,0.525,251,19,0.69,SLACS,1.5,1.38,259,20
J0157-0056,0.513,0.924,295,47,0.79,SLACS,1.5,1.06,308,49
J0216-0813,0.332,0.524,333,23,1.16,SLACS,1.5,2.67,335,23
J0252+0039,0.28,0.982,164,12,1.04,SLACS,1.5,1.39,169,12
J0330-0020,0.351,1.071,212,21,1.1,SLACS,1.5,1.2,220,22
J0405-0455,0.075,0.81,160,8,0.8,SLACS,1.5,1.36,165,8
J0728+3835,0.206,0.688,214,11,1.25,SLACS,1.5,1.78,219,11
J0737+3216,0.322,0.581,338,17,1,SLACS,1.5,2.82,339,17
J0808+4706,0.219,1.025,236,11,1.23,SLACS,1.5,2.42,238,11
J0822+2652,0.241,0.594,259,15,1.17,SLACS,1.5,1.82,264,15
J0841+3824,0.116,0.657,225,11,1.41,SLACS,1.5,4.21,222,11
J0903+4116,0.43,1.065,223,27,1.29,SLACS,1.5,1.78,228,28
J0912+0029,0.164,0.324,326,12,1.63,SLACS,1.5,3.87,323,12
J0935-0003,0.348,0.467,396,35,0.87,SLACS,1.5,4.24,391,35
J0936+0913,0.19,0.588,243,12,1.09,SLACS,1.5,2.11,246,12
J0946+1006,0.222,0.608,263,21,1.38,SLACS,1.5,2.35,266,21
J0956+5100,0.24,0.47,334,17,1.33,SLACS,1.5,2.19,338,17
J0959+0410,0.126,0.535,197,13,0.99,SLACS,1.5,1.39,203,13
J1016+3859,0.168,0.439,247,13,1.09,SLACS,1.5,1.46,254,13
J1020+1122,0.282,0.553,282,18,1.2,SLACS,1.5,1.59,289,18
J1023+4230,0.191,0.696,242,15,1.41,SLACS,1.5,1.77,247,15
J1100+5329,0.317,0.858,187,23,1.52,SLACS,1.5,2.24,189,23
J1106+5228,0.096,0.407,262,13,1.23,SLACS,1.5,1.68,268,13
J1112+0826,0.273,0.63,320,20,1.49,SLACS,1.5,1.5,329,21
J1134+6027,0.153,0.474,239,12,1.1,SLACS,1.5,2.02,243,12
J1142+1001,0.222,0.504,221,22,0.98,SLACS,1.5,1.91,225,22
J1143-0144,0.106,0.402,269,13,1.68,SLACS,1.5,4.8,264,13
J1153+4612,0.18,0.875,226,15,1.05,SLACS,1.5,1.16,235,16
J1204+0358,0.164,0.631,267,17,1.31,SLACS,1.5,1.47,275,17
J1205+4910,0.215,0.481,281,14,1.22,SLACS,1.5,2.59,283,14
J1213+6708,0.123,0.64,292,15,1.42,SLACS,1.5,3.23,291,15
J1218+0830,0.135,0.717,219,11,1.45,SLACS,1.5,3.18,218,11
J1250+0523,0.232,0.795,252,14,1.13,SLACS,1.5,1.81,257,14
J1251-0208,0.224,0.784,233,23,0.84,SLACS,1.5,2.61,234,23
J1330-0148,0.081,0.712,185,9,0.87,SLACS,1.5,0.89,194,9
J1402+6321,0.205,0.481,267,17,1.35,SLACS,1.5,2.7,268,17
J1403+0006,0.189,0.473,213,17,0.83,SLACS,1.5,1.46,219,17
J1416+5136,0.299,0.811,240,25,1.37,SLACS,1.5,1.43,247,26
J1430+4105,0.285,0.575,322,32,1.52,SLACS,1.5,2.55,324,32
J1436-0000,0.285,0.805,224,17,1.12,SLACS,1.5,2.24,227,17
J1451-0239,0.125,0.52,223,14,1.04,SLACS,1.5,2.48,225,14
J1525+3327,0.358,0.717,264,26,1.31,SLACS,1.5,2.9,264,26
J1531-0105,0.16,0.744,279,14,1.71,SLACS,1.5,2.5,281,14
J1538+5817,0.143,0.531,189,12,1,SLACS,1.5,1.58,194,12
J1621+3931,0.245,0.602,236,20,1.29,SLACS,1.5,2.14,239,20
J1627-0053,0.208,0.524,290,14,1.23,SLACS,1.5,1.98,295,14
J1630+4520,0.248,0.793,276,16,1.78,SLACS,1.5,1.96,281,16
J1636+4707,0.228,0.674,231,15,1.09,SLACS,1.5,1.68,236,15
J2238-0754,0.137,0.713,198,11,1.27,SLACS,1.5,2.33,200,11
J2300+0022,0.228,0.464,279,17,1.24,SLACS,1.5,1.83,285,17
J2303+1422,0.155,0.517,255,16,1.62,SLACS,1.5,3.28,254,16
J2321-0939,0.082,0.532,249,8,1.6,SLACS,1.5,4.11,246,8
J2341+0000,0.186,0.807,207,13,1.44,SLACS,1.5,3.15,207,13
J0143-1006,0.221,1.1046,203,17,1.23,SLACS2017,1.5,3.24,202,17
J0159-0006,0.1584,0.7477,216,18,0.92,SLACS2017,1.5,1.58,222,18
J0324+0045,0.321,0.9199,183,19,0.55,SLACS2017,1.5,1.67,187,19
J0324-0110,0.4456,0.6239,310,38,0.63,SLACS2017,1.5,2.23,314,38
J0753+3416,0.1371,0.9628,208,12,1.23,SLACS2017,1.5,1.89,212,12
J0754+1927,0.1534,0.7401,193,16,1.04,SLACS2017,1.5,1.46,199,16
J0757+1956,0.1206,0.8326,206,11,1.62,SLACS2017,1.5,3.67,204,11
J0826+5630,0.1318,1.2907,163,8,1.01,SLACS2017,1.5,1.64,167,8
J0847+2348,0.1551,0.5327,199,16,0.96,SLACS2017,1.5,1.54,204,16
J0851+0505,0.1276,0.6371,175,11,0.91,SLACS2017,1.5,1.35,181,11
J0920+3028,0.2881,0.3918,297,17,0.7,SLACS2017,1.5,4.25,293,17
J0955+3014,0.3214,0.4671,271,33,0.54,SLACS2017,1.5,2.95,271,33
J0956+5539,0.1959,0.8483,188,11,1.17,SLACS2017,1.5,1.96,191,11
J1010+3124,0.1668,0.4245,221,11,1.14,SLACS2017,1.5,3.26,220,11
J1031+3026,0.1671,0.7469,197,13,0.88,SLACS2017,1.5,1.04,206,14
J1040+3626,0.1225,0.2846,186,10,0.59,SLACS2017,1.5,1.3,192,10
J1041+0112,0.1006,0.2172,200,7,0.6,SLACS2017,1.5,2.5,201,7
J1048+1313,0.133,0.6679,195,10,1.18,SLACS2017,1.5,1.9,199,10
J1051+4439,0.1634,0.538,216,16,0.99,SLACS2017,1.5,1.66,221,16
J1056+4141,0.1343,0.8318,157,10,0.72,SLACS2017,1.5,1.81,160,10
J1101+1523,0.178,0.5169,270,15,1.18,SLACS2017,1.5,0.89,283,16
J1116+0729,0.1697,0.686,190,11,0.82,SLACS2017,1.5,2.44,192,11
J1127+2312,0.1303,0.361,230,9,1.25,SLACS2017,1.5,2.69,231,9
J1137+1818,0.1241,0.4627,222,8,1.29,SLACS2017,1.5,1.79,227,8
J1142+2509,0.164,0.6595,159,10,0.79,SLACS2017,1.5,1.51,163,10
J1144+0436,0.1036,0.2551,207,14,0.76,SLACS2017,1.5,1.22,215,15
J1213+2930,0.0906,0.5954,232,7,1.35,SLACS2017,1.5,1.73,237,7
J1301+0834,0.0902,0.5331,178,8,1,SLACS2017,1.5,1.25,184,8
J1330+1750,0.2074,0.3717,250,12,1.01,SLACS2017,1.5,2.85,251,12
J1403+3309,0.0625,0.772,190,6,1.02,SLACS2017,1.5,2,193,6
J1430+6104,0.1688,0.6537,180,15,1,SLACS2017,1.5,2.24,182,15
J1433+2835,0.0912,0.4115,230,6,1.53,SLACS2017,1.5,3.23,229,6
J1541+3642,0.1406,0.7389,194,11,1.17,SLACS2017,1.5,1.55,199,11
J1543+2202,0.2681,0.3966,285,16,0.78,SLACS2017,1.5,2.32,288,16
J1550+2020,0.1351,0.3501,243,9,1.01,SLACS2017,1.5,1.68,249,9
J1553+3004,0.1604,0.5663,194,15,0.84,SLACS2017,1.5,2.15,197,15
J1607+2147,0.2089,0.4865,197,16,0.57,SLACS2017,1.5,2.63,198,16
J1633+1441,0.1281,0.5804,231,9,1.39,SLACS2017,1.5,2.39,233,9
J2309-0039,0.2905,1.0048,184,13,1.14,SLACS2017,1.5,2.08,187,13
J2324+0105,0.1899,0.2775,245,15,0.59,SLACS2017,1.5,1.1,255,16
